unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
559835,20180123|24|3|1|4430727,4/18/18,NA,3790,ROLDGO CLSC THN 4OZ,54,Salty Snacks-pretzels (153),5,Salty Snacks,55,97,24 Hazleton,200 Main St S,Hazleton,50641,42.6151,-91.906,ACTIVE,1.69,0.51,1.18,1
2792621,20170530|921|1|2|2498534,8/23/17,6606.088,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,440,921 Greenwood Vlg,8525 E Arapahoe Rd,Greenwood Vlg,80112,39.5964,-104.891,ACTIVE,1,1,0,1
1230188,20180808|471|2|1|2582650,11/1/18,NA,3478,GRANDM OTML RSIN 2.87OZ,62,Cookies,29,Cookies,104,228,471 Columbia,511 E Walnut St,Columbia,65201,38.9532,-92.3313,ACTIVE,1.98,0.8,1.18,2
300041,20180402|26|1|100|2943388,6/26/18,NA,18991,G89E10M-B50,1,Fuel Premuim,78,Fuel,68,104,26 Aitkin,15 Minnesota Ave N,Aitkin,56431,46.5321,-93.707,ACTIVE,40.67,4.0683,36.6017,13.561
1624280,20181222|881|1|2|7297153,3/17/19,NA,11834,FIX A FLAT W/HOSE N CAP 16OZ,126,Auto-car Care (244),174,Automotive (35),970,413,881 Erick,119 W 3Rd St,Erick,73645,35.2141,-99.8677,ACTIVE,9.99,3.1,6.89,1
1702717,20190316|914|5|1|4080107,6/9/19,NA,10088,CO 7-11-21 885,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,434,914 Centennial,2221 E Arapahoe Rd,Centennial,80122,39.5957,-104.963,ACTIVE,2,0.14,1.86,2
161561,20180323|316|2|2|1973420,6/16/18,NA,10812,SIGNATURE CHKN SAND,276,Hot Food,275,Hot Sandwiches & Chicken,207,119,316 Mobile,5245 Rangeline Service Rd,Mobile,36619,39.9883,-104.818,ACTIVE,5,2.734,2.266,2
2142239,20180816|51|1|1|3739659,11/9/18,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,267,51 Griswold,608 4Th St,Griswold,51535,41.2335,-95.1403,ACTIVE,11.49,1.263,10.227,4.21
480046,20170915|473|1|1|2955602,12/9/17,NA,9062,MO PAYDAY MLTPLR 165,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,230,473 Hume,101 Main St,Hume,64752,38.091,-94.5834,ACTIVE,4,0.2,3.8,2
457354,20170730|928|1|1|1733461,10/23/17,NA,5024,PRINGL BBQ 5.5OZ,52,Potato Chips,2,Chips,251,443,928 Aurora,738 Peoria St Ste D,Aurora,80011,39.7276,-104.847,ACTIVE,2.89,1.4725,1.4175,1
2062091,20170629|2926|1|100|2429898,9/22/17,NA,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,114,2926 Commerce City,8096 Brighton Rd,Commerce City,80022,39.8437,-104.921,ACTIVE,34.74,4.0407,30.6993,13.469
808900,20170802|227|1|1|4077107,10/26/17,NA,3420,MUNCHI JLPNO CRCKR 1.38OZ,57,Crackers,5,Salty Snacks,56,90,227 Winthrop,253 W Madison St,Winthrop,50682,42.4732,-91.7338,ACTIVE,1.18,0.48,0.7,2
368535,20171116|615|2|1|2685115,2/9/18,6324.712,10809,SEC PRTZL BUN FCS,272,Breakfast Food,271,Breakfast Sandwiches,97,318,615 Stickney,309 Main St,Stickney,57375,43.5894,-98.4377,ACTIVE,2.69,2.143,0.547,1
1779701,20190815|973|2|2|5610802,11/8/19,NA,2984,MARLB SMTH BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,476,973 Lafayette,603 S Public Rd,Lafayette,80026,39.9932,-105.091,ACTIVE,14.42,2.93948,11.48052,2
925943,20190607|367|2|2|3496053,8/31/19,NA,7480,BANG FROSE ROSE 16OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,136,367 Arthur,309 Fir St,Arthur,69121,41.5711,-101.691,ACTIVE,1.92,0.586,1.334,1
2412983,20180430|465|2|2|3885677,7/24/18,7936.686,839,SMALL COFFEE,145,Hot Disp Bev-retail (301),232,Hot Dispensed Beverage,9,221,465 Sturgeon,111 N Wentz St,Sturgeon,65284,39.2347,-92.2822,ACTIVE,1.49,0.80697,0.68303,1
1892693,20171111|2926|1|100|2641410,2/4/18,NA,18962,DIESEL,1,Fuel Premuim,78,Fuel,68,114,2926 Commerce City,8096 Brighton Rd,Commerce City,80022,39.8437,-104.921,ACTIVE,72.72,7.1784,65.5416,23.928
2066082,20180611|568|2|2|3127223,9/4/18,6619.412,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,302,568 Poplar Bluff,430 Poplar St,Poplar Bluff,63901,36.7556,-90.3955,CLOSED,20,2.265,17.735,7.55
560208,20170716|24|3|1|4004450,10/9/17,NA,18732,BEER DEP 6PK,186,Beer-deposits (410),247,Beer Deposits (66),13,97,24 Hazleton,200 Main St S,Hazleton,50641,42.6151,-91.906,ACTIVE,0.3,0,0.3,NA
2653552,20180227|615|2|1|2807902,5/23/18,NA,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,318,615 Stickney,309 Main St,Stickney,57375,43.5894,-98.4377,ACTIVE,1.29,1.29,0,1
2093891,20170409|840|3|1|3143124,7/3/17,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,10,1.4571,8.5429,4.857
1615946,20190704|878|2|1|4780389,9/27/19,NA,896,WONDERFUL PISTACHIOS 5OZ,55,Nuts & seeds,185,Nuts,318,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,3.99,1.45233,2.53767,1
663792,20171018|120|2|2|693198,1/11/18,5875.39,11926,5 HOUR EX STRNGTH GRP 1.93OZ,89,Vitamins & Supplements,127,Health & Beauty,65,10,120 Clanton,1415 7Th Street South,Clanton,35045,43.2007,-91.1525,ACTIVE,3.59,1.918,1.672,1
238405,20161025|840|4|1|2798017,1/18/17,NA,30,JOLLYRA GMMI BITES KS,267,Healthy Candy,331,Candy,230,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,1.99,0.89667,1.09333,1
143520,20190123|570|4|2|489978,4/18/19,5331.346,7539,RED BULL 12OZ 4PK,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,304,570 Hueytown,1007 Red Farmer Drive,Hueytown,35023,41.9966,-91.8623,ACTIVE,2.5,0.5856,1.9144,1
2416758,20180408|571|1|1|3444420,7/1/18,5951.648,839,SMALL COFFEE,145,Hot Disp Bev-retail (301),232,Hot Dispensed Beverage,9,305,571 Leeds,8551 Whitfield Ave,Leeds,35094,40.3385,-95.393,ACTIVE,1.49,0.812775,0.677225,1
